//npc_monster.txt＠Athena 2007/02/12 00:31:04 (JST)

//タナトスタワー最上階(thana_boss.gat)
thana_boss.gat,135,119,0,0	monster	魔剣士タナトスの記憶	1708,1,7200000,3600000,0

//ゲフェニアダンジョン(gef_dun03.gat)
gef_dun03.gat,0,0,0,0	monster	ヘリオン・レボノント	1626,1,600000,300000,0
gef_dun03.gat,0,0,0,0	monster	レイス	1192,8,60000,30000,0
gef_dun03.gat,0,0,0,0	monster	ウィンドゴースト	1263,3,60000,30000,0
gef_dun03.gat,0,0,0,0	monster	デッドリーレイス	1291,2,60000,30000,0
gef_dun03.gat,0,0,0,0	monster	輝く草	1083,3,1800000,900000,0
gef_dun03.gat,0,0,0,0	monster	白い草	1082,10,180000,90000,0

//オーディン神殿(odin_tem01.gat)
odin_tem01.gat,0,0,0,0	monster	スケッギョルド	1755,1,3600000,1800000,0
odin_tem01.gat,0,0,0,0	monster	スケッギョルド	1754,1,3600000,1800000,0
odin_tem01.gat,0,0,0,0	monster	ブリーズ	1692,10,0,0,0
odin_tem01.gat,0,0,0,0	monster	プラズマ	1693,15,0,0,0
odin_tem01.gat,0,0,0,0	monster	プラズマ	1694,3,0,0,0
odin_tem01.gat,0,0,0,0	monster	プラズマ	1695,3,0,0,0
odin_tem01.gat,0,0,0,0	monster	プラズマ	1696,3,0,0,0
odin_tem01.gat,0,0,0,0	monster	プラズマ	1697,3,0,0,0
odin_tem01.gat,0,0,0,0	monster	黄色草	1081,5,180000,90000,0
odin_tem01.gat,0,0,0,0	monster	青い草	1079,5,180000,90000,0
odin_tem01.gat,0,0,0,0	monster	緑色草	1080,5,180000,90000,0

//オーディン神殿(odin_tem02.gat)
odin_tem02.gat,0,0,0,0	monster	スケッギョルド	1754,3,3600000,1800000,0
odin_tem02.gat,0,0,0,0	monster	スケッギョルド	1755,3,3600000,1800000,0
odin_tem02.gat,0,0,0,0	monster	スケグル	1752,30,0,0,0
odin_tem02.gat,0,0,0,0	monster	プラズマ	1693,15,0,0,0
odin_tem02.gat,0,0,0,0	monster	青い草	1079,10,180000,90000,0
odin_tem02.gat,0,0,0,0	monster	フラッズ	1753,25,0,0,0
odin_tem02.gat,0,0,0,0	monster	ヴァルキリー	1765,1,3600000,1800000,0

//オーディン神殿(odin_tem03.gat)
odin_tem03.gat,0,0,0,0	monster	スケッギョルド	1754,15,0,0,0
odin_tem03.gat,0,0,0,0	monster	スケッギョルド	1755,10,0,0,0
odin_tem03.gat,0,0,0,0	monster	スケグル	1752,5,0,0,0
odin_tem03.gat,0,0,0,0	monster	プラズマ	1693,15,0,0,0
odin_tem03.gat,0,0,0,0	monster	青い草	1079,12,180000,90000,0
odin_tem03.gat,0,0,0,0	monster	輝く草	1083,10,180000,90000,0
odin_tem03.gat,0,0,0,0	monster	ランドグリーズ	1751,1,28800000,7200000,0
odin_tem03.gat,0,0,0,0	monster	フラッズ	1753,5,0,0,0
odin_tem03.gat,0,0,0,0	monster	ヴァルキリー	1765,2,3600000,1800000,0

//機械人形工場 1F(kh_dun01.gat)
kh_dun01.gat,0,0,0,0	monster	アリセル	1735,5,0,0,0
kh_dun01.gat,0,0,0,0	monster	アリス	1275,30,0,0,0
