//mob_db.txt＠Auriga 2015/12/28 03:42:52 (JST) http://www25.atpages.jp/honeyberry/
//ID,Name,JName,LV,HP,SP,EXP,JEXP,Range1,ATK,MATK,DEF,MDEF,STR,AGI,VIT,INT,DEX,LUK,Range2,Range3,Scale,Race,Element,Mode,Speed,ADelay,aMotion,dMotion,Drop1id,Drop1per,Drop2id,Drop2per,Drop3id,Drop3per,Drop4id,Drop4per,Drop5id,Drop5per,Drop6id,Drop6per,Drop7id,Drop7per,Drop8id,Drop8per,Drop9id,Drop9per,DropCardid,DropCardper,MEXP,ExpPer,MVP1id,MVP1per,MVP2id,MVP2per,MVP3id,MVP3per
1001,SCORPION,スコーピオン,34,3950,0,1777,1382,1,140,7,16,5,22,25,20,15,29,25,10,12,0,4,23,149,200,1564,864,576,904,5500,503,1,943,210,757,57,7041,100,990,70,625,20,0,0,0,0,4068,1,0,0,0,0,0,0,0,0
1002,PORING,ポリン,1,60,0,1,1,1,1,1,2,5,6,1,1,0,6,5,10,12,1,3,21,131,400,1872,672,480,909,7000,713,1500,512,1000,938,400,512,1,1202,100,619,20,0,0,0,0,4001,1,0,0,0,0,0,0,0,0
1003,THIEF_BUG_AGG,TEST用卵,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,200,1600,600,600,512,0,512,0,512,0,512,0,512,0,512,0,512,0,512,0,512,0,0,0,0,0,0,0,0,0,0,0
1004,HORNET,ホーネット,9,275,0,15,10,1,10,3,7,1,12,44,4,5,6,5,10,12,0,4,24,137,150,1292,792,216,939,9000,909,3500,511,350,518,150,992,80,1208,15,0,0,0,0,0,0,4019,1,0,0,0,0,0,0,0,0
1005,FARMILIAR,ファミリアー,9,333,0,9,8,1,9,9,26,5,15,19,20,5,20,1,10,12,0,2,27,4229,150,1276,576,384,913,5500,507,700,514,100,645,50,601,50,1105,20,2209,15,0,0,0,0,4020,1,0,0,0,0,0,0,0,0
1006,THIEF_BUG_LARVA,盗蟲,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,200,1600,600,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,0,0,0,0,0,0,0
1007,FABRE,ファブル,1,75,0,2,1,1,2,3,24,0,12,5,5,5,12,5,10,12,0,4,22,129,400,1672,672,480,914,6500,705,1000,511,700,949,500,1501,200,1502,80,721,5,0,0,0,0,4002,1,0,0,0,0,0,0,0,0
1008,PUPA,プパ,2,246,0,2,3,0,2,3,4,2,11,1,3,3,8,6,10,12,0,4,22,0,1000,1001,1,1,915,5500,935,1000,938,600,938,1,1002,200,1010,80,2102,2,0,0,0,0,4003,1,0,0,0,0,0,0,0,0
1009,CONDOR,コンドル,5,189,0,7,5,1,2,6,7,5,14,7,6,0,13,5,10,12,1,2,24,137,150,1148,648,480,917,9000,1750,5500,916,2000,582,600,517,400,1702,150,715,80,0,0,0,0,4015,1,0,0,0,0,0,0,0,0
1010,WILOW,ウィロー,4,231,0,6,3,1,4,5,38,2,13,3,8,5,12,5,10,12,1,3,22,129,200,1672,672,432,902,9000,1068,3500,1067,2000,907,1500,1066,1000,516,700,1019,100,0,0,0,0,4010,1,0,0,0,0,0,0,0,0
1011,CHONCHON,チョンチョン,4,190,0,4,3,1,4,3,27,0,13,4,4,0,8,5,10,12,0,4,24,129,200,1076,576,480,935,6500,1002,150,909,1500,998,50,601,100,1205,55,742,5,0,0,0,0,4009,1,0,0,0,0,0,0,0,0
